5,28,1,2,0,33,9,13,4,19,6,29,2,3,1,34,10,14,0,20,7,30,0,4,2,35,11,15,1,21,8,31,1,5,3,36,12,0,2,22,9,32,2,6,4,37,13,0,3,23,10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,1
6,29,2,3,1,34,10,14,0,20,7,30,0,4,2,35,11,15,1,21,8,31,1,5,3,36,12,0,2,22,9,32,2,6,4,37,13,0,3,23,10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,1
7,30,0,4,2,35,11,15,1,21,8,31,1,5,3,36,12,0,2,22,9,32,2,6,4,37,13,0,3,23,10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,1
8,31,1,5,3,36,12,0,2,22,9,32,2,6,4,37,13,0,3,23,10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,2
9,32,2,6,4,37,13,0,3,23,10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,1
10,33,3,0,5,38,14,1,4,24,11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,16,0,1,3,11,44,2,7,10,30,1
11,34,4,1,6,39,0,2,5,25,12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,16,0,1,3,11,44,2,7,10,30,17,1,2,4,12,0,3,8,11,31,1
12,35,5,0,7,40,1,3,6,26,13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,16,0,1,3,11,44,2,7,10,30,17,1,2,4,12,0,3,8,11,31,18,2,0,5,13,1,4,9,12,32,2
13,36,6,0,8,41,2,4,7,27,14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,16,0,1,3,11,44,2,7,10,30,17,1,2,4,12,0,3,8,11,31,18,2,0,5,13,1,4,9,12,32,19,3,0,6,14,2,5,10,13,33,2
14,37,7,1,9,42,0,5,8,28,15,38,0,2,10,43,1,6,9,29,16,0,1,3,11,44,2,7,10,30,17,1,2,4,12,0,3,8,11,31,18,2,0,5,13,1,4,9,12,32,19,3,0,6,14,2,5,10,13,33,20,4,0,7,15,3,6,11,14,34,1
